ID,FX,FY,FZ
174,0,400000,0
175,0,400000,0
176,0,400000,0
177,0,400000,0
178,0,400000,0
179,0,400000,0
180,0,400000,0
181,0,400000,0
201,0,400000,0
202,0,400000,0
203,0,400000,0
204,0,400000,0
205,0,400000,0
206,0,400000,0
207,0,400000,0
208,0,400000,0
209,0,400000,0
230,0,400000,0
231,0,400000,0
232,0,400000,0
233,0,400000,0
234,0,400000,0
235,0,400000,0
236,0,400000,0
237,0,400000,0
238,0,400000,0
239,0,400000,0
258,0,400000,0
259,0,400000,0
260,0,400000,0
261,0,400000,0
262,0,400000,0
263,0,400000,0
264,0,400000,0
265,0,400000,0
266,0,400000,0
267,0,400000,0
268,0,400000,0
287,0,400000,0
288,0,400000,0
289,0,400000,0
290,0,400000,0
291,0,400000,0
292,0,400000,0
293,0,400000,0
294,0,400000,0
295,0,400000,0
296,0,400000,0
297,0,400000,0
298,0,400000,0
317,0,400000,0
318,0,400000,0
319,0,400000,0
320,0,400000,0
321,0,400000,0
322,0,400000,0
323,0,400000,0
324,0,400000,0
325,0,400000,0
326,0,400000,0
327,0,400000,0
328,0,400000,0
329,0,400000,0
347,0,400000,0
348,0,400000,0
349,0,400000,0
350,0,400000,0
351,0,400000,0
352,0,400000,0
353,0,400000,0
354,0,400000,0
355,0,400000,0
356,0,400000,0
357,0,400000,0
358,0,400000,0
359,0,400000,0
377,0,400000,0
378,0,400000,0
379,0,400000,0
380,0,400000,0
381,0,400000,0
382,0,400000,0
383,0,400000,0
384,0,400000,0
385,0,400000,0
386,0,400000,0
387,0,400000,0
388,0,400000,0
389,0,400000,0
390,0,400000,0
407,0,400000,0
408,0,400000,0
409,0,400000,0
410,0,400000,0
411,0,400000,0
412,0,400000,0
413,0,400000,0
414,0,400000,0
415,0,400000,0
416,0,400000,0
417,0,400000,0
418,0,400000,0
419,0,400000,0
420,0,400000,0
556,400000,-400000,0
557,400000,-400000,0
558,400000,-400000,0
587,400000,-400000,0
588,400000,-400000,0
589,400000,-400000,0
590,400000,-400000,0
619,400000,-400000,0
620,400000,-400000,0
621,400000,-400000,0
622,400000,-400000,0
623,400000,-400000,0
651,400000,-400000,0
652,400000,-400000,0
653,400000,-400000,0
654,400000,-400000,0
655,400000,-400000,0
656,400000,-400000,0
657,400000,-400000,0
685,400000,-400000,0
686,400000,-400000,0
687,400000,-400000,0
688,400000,-400000,0
689,400000,-400000,0
690,400000,-400000,0
691,400000,-400000,0
692,400000,-400000,0
693,400000,-400000,0
720,400000,-400000,0
721,400000,-400000,0
722,400000,-400000,0
723,400000,-400000,0
724,400000,-400000,0
725,400000,-400000,0
726,400000,-400000,0
727,400000,-400000,0
728,400000,-400000,0
729,400000,-400000,0
730,400000,-400000,0
756,400000,-400000,0
757,400000,-400000,0
758,400000,-400000,0
759,400000,-400000,0
760,400000,-400000,0
761,400000,-400000,0
762,400000,-400000,0
763,400000,-400000,0
764,400000,-400000,0
765,400000,-400000,0
766,400000,-400000,0
767,400000,-400000,0
793,400000,-400000,0
794,400000,-400000,0
795,400000,-400000,0
796,400000,-400000,0
797,400000,-400000,0
798,400000,-400000,0
799,400000,-400000,0
800,400000,-400000,0
801,400000,-400000,0
802,400000,-400000,0
803,400000,-400000,0
804,400000,-400000,0
805,400000,-400000,0
806,400000,-400000,0
831,400000,-400000,0
832,400000,-400000,0
833,400000,-400000,0
834,400000,-400000,0
835,400000,-400000,0
836,400000,-400000,0
837,400000,-400000,0
838,400000,-400000,0
839,400000,-400000,0
840,400000,-400000,0
841,400000,-400000,0
842,400000,-400000,0
843,400000,-400000,0
844,400000,-400000,0
845,400000,-400000,0
