ID, R, G, B
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,0.952941,0.952941,0.956863
7,0.545098,0.521569,0.568627
8,0.529412,0.509804,0.537255
9,0.537255,0.517647,0.545098
10,0.411765,0.392157,0.419608
11,0.423529,0.403922,0.431373
12,0.490196,0.482353,0.498039
13,0.87451,0.870588,0.878431
14,1,1,1
15,1,1,1
16,0.870588,0.866667,0.87451
17,0.439216,0.415686,0.454902
18,0.45098,0.419608,0.462745
19,0.4,0.360784,0.392157
20,0.360784,0.321569,0.352941
21,0.313726,0.27451,0.305882
22,0.411765,0.372549,0.403922
23,0.431373,0.407843,0.415686
24,0.294118,0.270588,0.278431
25,0.364706,0.341176,0.345098
26,0.443137,0.419608,0.419608
27,0.741176,0.717647,0.745098
28,0.988235,0.988235,0.988235
29,1,1,1
30,1,1,1
31,0.466667,0.447059,0.47451
32,0.423529,0.396078,0.427451
33,0.427451,0.388235,0.423529
34,0.298039,0.254902,0.278431
35,0.376471,0.333333,0.356863
36,0.27451,0.231373,0.254902
37,0.372549,0.329412,0.352941
38,0.419608,0.380392,0.411765
39,0.286275,0.247059,0.27451
40,0.368627,0.333333,0.341176
41,0.407843,0.376471,0.372549
42,0.443137,0.396078,0.435294
43,0.498039,0.458824,0.498039
44,0.592157,0.564706,0.611765
45,1,1,1
46,0.862745,0.854902,0.862745
47,0.482353,0.462745,0.486275
48,0.431373,0.411765,0.435294
49,0.368627,0.34902,0.372549
50,0.298039,0.262745,0.27451
51,0.360784,0.32549,0.34902
52,0.282353,0.243137,0.278431
53,0.321569,0.282353,0.317647
54,0.333333,0.313726,0.337255
55,0.341176,0.317647,0.345098
56,0.380392,0.341176,0.372549
57,0.396078,0.352941,0.384314
58,0.403922,0.360784,0.384314
59,0.411765,0.368627,0.392157
60,0.443137,0.4,0.423529
61,0.647059,0.623529,0.639216
62,1,1,1
63,1,1,1
64,0.564706,0.545098,0.568627
65,0.419608,0.4,0.423529
66,0.364706,0.345098,0.368627
67,0.352941,0.333333,0.356863
68,0.317647,0.294118,0.309804
69,0.286275,0.258824,0.286275
70,0.27451,0.247059,0.278431
71,0.341176,0.309804,0.352941
72,0.305882,0.286275,0.309804
73,0.341176,0.317647,0.345098
74,0.388235,0.34902,0.380392
75,0.364706,0.321569,0.352941
76,0.337255,0.294118,0.317647
77,0.32549,0.282353,0.305882
78,0.403922,0.360784,0.384314
79,0.286275,0.243137,0.266667
80,1,1,1
81,0.898039,0.894118,0.905882
82,0.478431,0.458824,0.482353
83,0.364706,0.345098,0.368627
84,0.341176,0.321569,0.345098
85,0.34902,0.329412,0.352941
86,0.290196,0.270588,0.294118
87,0.239216,0.219608,0.247059
88,0.266667,0.243137,0.286275
89,0.309804,0.286275,0.333333
90,0.282353,0.262745,0.286275
91,0.290196,0.266667,0.294118
92,0.305882,0.266667,0.298039
93,0.333333,0.290196,0.321569
94,0.321569,0.278431,0.301961
95,0.27451,0.231373,0.254902
96,0.317647,0.27451,0.298039
97,0.32549,0.282353,0.305882
98,1,1,1
99,0.537255,0.517647,0.572549
100,0.388235,0.368627,0.392157
101,0.317647,0.298039,0.321569
102,0.345098,0.32549,0.34902
103,0.262745,0.243137,0.266667
104,0.25098,0.239216,0.266667
105,0.207843,0.196078,0.231373
106,0.270588,0.254902,0.305882
107,0.254902,0.239216,0.294118
108,0.227451,0.207843,0.231373
109,0.215686,0.192157,0.219608
110,0.2,0.160784,0.192157
111,0.231373,0.188235,0.219608
112,0.262745,0.219608,0.243137
113,0.258824,0.215686,0.239216
114,0.247059,0.203922,0.227451
115,0.313726,0.270588,0.294118
116,0.698039,0.682353,0.709804
117,1,1,1
118,0.439216,0.411765,0.470588
119,0.356863,0.333333,0.341176
120,0.313726,0.290196,0.301961
121,0.301961,0.27451,0.301961
122,0.258824,0.231373,0.262745
123,0.239216,0.239216,0.247059
124,0.254902,0.235294,0.286275
125,0.258824,0.235294,0.290196
126,0.239216,0.227451,0.258824
127,0.2,0.188235,0.223529
128,0.164706,0.160784,0.188235
129,0.172549,0.160784,0.164706
130,0.2,0.176471,0.160784
131,0.243137,0.203922,0.235294
